,Q18_categorized,Q20_categorized,gambled_before,p_gender_sdc,p_age_group_sdc,Q22,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d
0,Q18_1,Q20_1,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_3,Q22_3,Q1_2,Q9a_2,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_1,Q16d_3,Q16e_2,Q16f_3,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_2,Q17c_2,Q17d_2
1,Q18_0,Q20_2,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_3,Q1_1,Q9a_4,Q9b_2,Q9c_4,Q9d_4,Q9e_4,Q16a_3,Q16b_2,Q16c_2,Q16d_2,Q16e_2,Q16f_4,Q16g_4,Q16h_4,Q16i_3,Q17a_4,Q17b_2,Q17c_3,Q17d_2
2,Q18_0,Q20_0,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_D,Q1_2,Q9a_2,Q9b_3,Q9c_2,Q9d_2,Q9e_2,Q16a_3,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_4,Q16h_2,Q16i_3,Q17a_2,Q17b_2,Q17c_2,Q17d_3
3,Q18_2,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_2,Q9c_3,Q9d_3,Q9e_3,Q16a_3,Q16b_1,Q16c_1,Q16d_4,Q16e_1,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_1,Q17c_4,Q17d_4
4,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_2,Q22_1,Q1_4,Q9a_4,Q9b_3,Q9c_3,Q9d_2,Q9e_3,Q16a_2,Q16b_1,Q16c_3,Q16d_3,Q16e_2,Q16f_3,Q16g_2,Q16h_3,Q16i_2,Q17a_2,Q17b_2,Q17c_3,Q17d_3
5,Q18_2,Q20_2,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_4,Q22_1,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_1,Q16c_2,Q16d_3,Q16e_3,Q16f_4,Q16g_4,Q16h_3,Q16i_1,Q17a_4,Q17b_2,Q17c_3,Q17d_3
6,Q18_1,Q20_2,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_3,Q16a_3,Q16b_1,Q16c_2,Q16d_2,Q16e_2,Q16f_4,Q16g_4,Q16h_3,Q16i_2,Q17a_4,Q17b_2,Q17c_3,Q17d_3
7,Q18_2,Q20_1,gambled_12m_0,p_gender_sdc_2,p_age_group_sdc_3,Q22_1,Q1_4,Q9a_3,Q9b_3,Q9c_3,Q9d_3,Q9e_3,Q16a_2,Q16b_2,Q16c_3,Q16d_2,Q16e_3,Q16f_2,Q16g_3,Q16h_3,Q16i_2,Q17a_2,Q17b_3,Q17c_2,Q17d_2
8,Q18_1,Q20_1,gambled_12m_0,p_gender_sdc_1,p_age_group_sdc_3,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_2,Q9e_4,Q16a_2,Q16b_1,Q16c_2,Q16d_2,Q16e_3,Q16f_3,Q16g_3,Q16h_3,Q16i_2,Q17a_4,Q17b_2,Q17c_3,Q17d_3
9,Q18_0,Q20_0,gambled_12m_1,p_gender_sdc_2,p_age_group_sdc_4,Q22_1,Q1_2,Q9a_3,Q9b_3,Q9c_2,Q9d_3,Q9e_3,Q16a_3,Q16b_2,Q16c_1,Q16d_3,Q16e_1,Q16f_3,Q16g_3,Q16h_2,Q16i_3,Q17a_4,Q17b_2,Q17c_3,Q17d_2
