,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,p_gender_sdc,p_age_group_sdc,p_education_sdc,gambled_before
0,2,2,3,3,3,3,2,2,1,3,2,3,4,3,2,4,2,2,2,5,5,3,2,3,1,1
1,1,4,2,4,4,4,3,2,2,2,2,4,4,4,3,4,2,3,2,2,8,3,2,4,1,1
2,2,2,3,2,2,2,3,2,3,2,3,2,4,2,3,2,2,2,3,3,3,-98,2,3,3,0
3,2,3,2,3,3,3,3,1,1,4,1,4,4,3,2,4,1,4,4,9,8,1,2,4,2,0
4,4,4,3,3,2,3,2,1,3,3,2,3,2,3,2,2,2,3,3,6,8,1,1,2,2,0
5,4,3,3,3,3,3,2,1,2,3,3,4,4,3,1,4,2,3,3,9,8,1,1,4,2,0
6,2,3,3,2,2,3,3,1,2,2,2,4,4,3,2,4,2,3,3,7,8,1,2,3,2,0
7,4,3,3,3,3,3,2,2,3,2,3,2,3,3,2,2,3,2,2,8,6,1,2,3,3,0
8,2,3,3,2,2,4,2,1,2,2,3,3,3,3,2,4,2,3,3,6,6,1,1,3,2,0
9,2,3,3,2,3,3,3,2,1,3,1,3,3,2,3,4,2,3,2,0,3,1,2,4,3,1
10,2,1,2,2,1,3,4,1,1,4,1,4,4,1,4,4,1,4,4,8,8,1,2,3,3,0
11,2,3,3,2,2,2,2,1,2,-98,3,3,3,3,2,3,2,2,2,8,7,1,2,3,2,0
12,4,3,4,3,4,4,2,2,2,3,2,3,2,3,3,3,2,2,2,2,2,2,2,3,3,1
13,2,3,3,3,2,3,4,1,1,4,1,3,3,2,1,4,1,3,3,5,7,1,2,4,3,0
14,2,3,2,3,2,2,2,1,1,3,1,3,3,2,2,3,3,2,4,4,5,3,1,2,1,1
15,2,3,1,2,3,3,1,1,1,3,1,4,4,3,1,4,1,4,-98,3,9,3,2,4,3,1
16,5,3,4,3,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,5,5,1,1,3,2,0
17,4,4,3,4,3,3,2,1,3,3,4,2,3,3,2,3,2,3,3,4,6,3,2,3, ,0
18,1,3,2,3,2,2,4,1,1,4,1,3,3,2,2,3,2,3,3,6,8,1,2,4,3,0
19,2,3,1,1,2,3,2,1,2,3,2,4,4,3,1,4,1,2,1,6,8,1,2,4,3,0
20,4,2,4,3,3,3,3,1,1,3,1,4,4,4,2,3,2,3,3,8,10,3,2,4,1,1
21,4,4,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,5,6,1,2,4,3,0
22,4,3,3,3,2,3,1,1,2,3,3,2,2,2,2,3,1,3,3,6,8,1,2,4,3,0
23,2,2,3,2,2,3,3,1,1,3,1,4,4,2,2,4,1,3,3,6,9,3,2,2,1,0
24,2,2,3,2,3,3,3,2,2,2,2,3,4,3,2,4,1,4,4,5,10,3,1,4,1,0
25,1,3,2,1,-98,3,2,2,1,1,2,3,3,4,3,3,1,2,4,10,10,1,1,4,3,0
26,4,3,2,3,3,2,2,1,1,4,1,4,4,2,2,3,2,3,2,5,10,3,1,4,2,1
27,2,2,2,3,2,2,2,1,1,3,1,4,3,3,3,3,1,2,2,6,5,3,2,2,2,0
28,2,3,3,1,3,3,3,1,1,3,1,4,3,3,1,4,1,2,3,6,8,1,2,4,1,0
29,4,3,3,2,2,3,3,2,2,3,1,4,3,3,2,2,2,2,3,8,8,3,2,2,1,0
30,2,3,3,3,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,3,1,2,4,3,0
31,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,3,2,3,3,6,7,3,2,4,1,1
32,4,3,2,2,2,3,2,1,1,4,2,4,4,3,1,3,1,3,4,7,6,3,2,4,1,0
